"","ID","BIOCHEMICAL","CHEMICAL.ID","COMP.ID","PLATFORM","RI","MASS","CAS","KEGG","HMDB","PUBCHEM","CHEMSPIDER","PATHWAY.SORTORDER","SUPER.PATHWAY","SUB.PATHWAY"
"M.1417","M.1417","kynurenate",98,1417,"LC/MS Neg",2224,188.0353,"492-27-3","C01717","HMDB00715","3845",3712,61,"Amino Acid","Tryptophan Metabolism"
"M.437","M.437","5-hydroxyindoleacetate",71,437,"LC/MS Pos;LC/MS Neg;LC/MS Pos Early",2559.9,192.0655,"54-16-0","C05635","HMDB00763","1826",1760,62,"Amino Acid","Tryptophan Metabolism"
"M.18349","M.18349","indolelactate",100000463,18349,"LC/MS Pos;LC/MS Neg",3514,206.0812,"832-97-3","C02043","HMDB00671","92904",83867,63,"Amino Acid","Tryptophan Metabolism"
"M.27513","M.27513","indoleacetate",100001034,27513,"LC/MS Pos;LC/MS Neg",3766.3,176.0706,"6505-45-9","C00954","HMDB00197","802",780,64,"Amino Acid","Tryptophan Metabolism"
"M.32405","M.32405","indolepropionate",100001083,32405,"LC/MS Pos;LC/MS Neg",4147.9,190.0863,"830-96-6",NA,"HMDB02302","3744",3613,65,"Amino Acid","Tryptophan Metabolism"
"M.46999","M.46999","indolepropionylglycine",NA,46999,"LC/MS Neg",2965,245.094,NA,NA,NA,NA,NA,66,"Amino Acid","Tryptophan Metabolism"
"M.42087","M.42087","indoleacetylglutamine",100001731,42087,"LC/MS Neg",2535,302.1146,NA,NA,"HMDB13240","25200879",NA,67,"Amino Acid","Tryptophan Metabolism"
"M.38116","M.38116","indole-3-carboxylic acid",100002185,38116,"LC/MS Pos;LC/MS Neg",3651.9,162.055,"771-50-6","C19837","HMDB03320","69867",NA,68,"Amino Acid","Tryptophan Metabolism"
"M.27672","M.27672","3-indoxyl sulfate",100000467,27672,"LC/MS Neg",2222.2,212.0023,"2642-37-7",NA,"HMDB00682","10258",9840,69,"Amino Acid","Tryptophan Metabolism"
"M.46908","M.46908","6-bromotryptophan",NA,46908,"LC/MS Neg",3573,280.9933,NA,NA,NA,NA,NA,70,"Amino Acid","Tryptophan Metabolism"
"M.60","M.60","leucine",397,60,"LC/MS Pos;LC/MS Neg;LC/MS Pos Early",1680.2,132.1019,"61-90-5",NA,NA,"5246661",4414789,71,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.1587","M.1587","N-acetylleucine",1082,1587,"LC/MS Neg;LC/MS Pos",2400,172.0979,"1188-21-2","C02710","HMDB11756","70912",64075,72,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.47347","M.47347","1-carboxyethylleucine",NA,47347,"LC/MS Neg",2633,202.1087,NA,NA,NA,NA,NA,73,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.22116","M.22116","4-methyl-2-oxopentanoate",100000551,22116,"LC/MS Neg",2170,129.0557,"816-66-0","C00233","HMDB00695","70",69,74,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.22132","M.22132","alpha-hydroxyisocaproate",100000706,22132,"LC/MS Neg",1840,131.0714,"10303-64-7","C03264","HMDB00746","83697",75520,75,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.44656","M.44656","isovalerate (i5:0)",100000708,44656,"LC/MS Neg",1564,101.0608,"503-74-2","C08262","HMDB00718","10430",10001,76,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.34407","M.34407","isovalerylcarnitine (C5)",100001393,34407,"LC/MS Pos;LC/MS Pos Early",2504.9,246.17,"31023-24-2",NA,"HMDB00688","6426851",4932271,77,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.12129","M.12129","beta-hydroxyisovalerate",1442,12129,"GC/MS;LC/MS Neg",1251.5,130.9,"625-08-1",NA,"HMDB00754","69362",62571,78,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.46547","M.46547","3-methylglutarylcarnitine (1)",100005849,46547,"LC/MS Pos",1870,290.1598,NA,NA,"HMDB00552","128145",113619,79,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.1125","M.1125","isoleucine",376,1125,"LC/MS Pos;LC/MS Neg;LC/MS Pos Early",1599,132.1019,"73-32-5","C00407","HMDB00172","6306",769,80,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.46552","M.46552","allo-isoleucine",100005840,46552,"GC/MS",1325,158.1,NA,NA,NA,"6950182;99288",89698,81,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.33967","M.33967","N-acetylisoleucine",100001276,33967,"LC/MS Neg;LC/MS Pos",2325,172.0979,"3077-46-1",NA,"HMDB61684","2802421",2081100,82,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.47348","M.47348","1-carboxyethylisoleucine",NA,47348,"LC/MS Neg",2603,202.1087,NA,NA,NA,NA,NA,83,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.15676","M.15676","3-methyl-2-oxovalerate",100000036,15676,"LC/MS Neg;GC/MS",2064.2,129.0557,"1460-34-0;51829-07-3","C00671","HMDB03736","47",46,84,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.33937","M.33937","alpha-hydroxyisovalerate",100001300,33937,"LC/MS Neg;GC/MS",1126,117.0557,"600-37-3",NA,"HMDB00407","99823",90190,85,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.45095","M.45095","2-methylbutyrylcarnitine (C5)",100001509,45095,"LC/MS Pos;LC/MS Pos Early",2465,246.17,"31023-25-3",NA,"HMDB00378","6426901",4932320,86,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.35428","M.35428","tiglylcarnitine (C5:1-DC)",100001597,35428,"LC/MS Pos",2354,244.1543,"64191-86-2",NA,"HMDB02366","22833596",17216200,87,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.32397","M.32397","3-hydroxy-2-ethylpropionate",100001170,32397,"LC/MS Pos;GC/MS;LC/MS Neg",2343.2,119.0703,"4374-62-3",NA,"HMDB00396","188979",164207,88,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.1649","M.1649","valine",566,1649,"LC/MS Pos;LC/MS Pos Early",1042.1,118.0863,"72-18-4","C00183","HMDB00883","6287",6050,89,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.46643","M.46643","1-carboxyethylvaline",NA,46643,"LC/MS Neg",2011,188.0928,NA,NA,NA,NA,NA,90,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.44526","M.44526","3-methyl-2-oxobutyrate",100000936,44526,"LC/MS Neg",1465,115.0401,"3715-29-5","C00141","HMDB00019","49",48,91,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.36746","M.36746","2-hydroxy-3-methylvalerate",100001541,36746,"LC/MS Neg",1800,131.0714,"488-15-3",NA,"HMDB00317","164623",144317,92,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.33441","M.33441","isobutyrylcarnitine (C4)",100001055,33441,"LC/MS Pos;LC/MS Pos Early",1955.1,232.1543,"25518-49-4",NA,"HMDB00736","168379",NA,93,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.35437","M.35437","isobutyrylglycine",100001590,35437,"LC/MS Neg;LC/MS Pos",1420,144.0666,"15926-18-8",NA,"HMDB00730","10855600",9030891,94,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.1549","M.1549","3-hydroxyisobutyrate",111,1549,"GC/MS;LC/MS Polar",1205,177.11,"2068-83-9","C06001","HMDB00336","87",10140307,95,"Amino Acid","Leucine, Isoleucine and Valine Metabolism"
"M.1302","M.1302","methionine",415,1302,"LC/MS Pos;LC/MS Pos Early",1250,150.0583,"63-68-3","C00073","HMDB00696","6137",5907,96,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.1589","M.1589","N-acetylmethionine",1083,1589,"LC/MS Pos;LC/MS Neg",2587,192.0689,"65-82-7","C02712","HMDB11745","448580",395338,97,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.2829","M.2829","N-formylmethionine",194,2829,"LC/MS Neg",1543.8,176.0387,"4289-98-9","C03145","HMDB01015","439750",388809,98,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.45428","M.45428","N-acetylmethionine sulfoxide",100005463,45428,"LC/MS Neg;LC/MS Pos Early",942,206.0493,"108646-71-5",NA,NA,"193368",167798,99,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.47716","M.47716","5-methylthioribose**",NA,47716,"LC/MS Pos;LC/MS Pos Early",1087,181.0528,NA,NA,NA,NA,NA,100,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.42382","M.42382","S-adenosylhomocysteine (SAH)",197,42382,"LC/MS Pos;LC/MS Neg",1495.9,193.0681,"979-92-0","C00021","HMDB00939","439155",16788012,101,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.40266","M.40266","homocysteine",311,40266,"GC/MS",1648.2,234,"454-29-5","C00155","HMDB00742","778",757,102,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.31453","M.31453","cysteine",800,31453,"GC/MS",1560.1,218,"52-90-4;56-89-3","C00097","HMDB00574","5862",5653,103,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.39592","M.39592","S-methylcysteine",100002749,39592,"LC/MS Neg",880,134.0281,"1187-84-4",NA,"HMDB02108","24417",22826,104,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.39512","M.39512","cystine",279,39512,"GC/MS",2015.3,145.9,"56-89-3","C00491","HMDB00192","67678",575,105,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.37443","M.37443","cysteine sulfinic acid",100002113,37443,"LC/MS Neg;LC/MS Pos Early",637.5,152.0023,"207121-48-0","C00606","HMDB00996","109",107,106,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.2125","M.2125","taurine",512,2125,"LC/MS Neg;LC/MS Pos Early",690,124.0074,"107-35-7","C00245","HMDB00251","1123",1091,107,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism"
"M.1638","M.1638","arginine",231,1638,"LC/MS Pos;LC/MS Pos Early",700,175.119,"1119-34-2","C00062","HMDB00517","232",227,108,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.1670","M.1670","urea",533,1670,"LC/MS Pos;GC/MS;LC/MS Pos Early",739,121.072,"57-13-6","C00086","HMDB00294","1176",1143,109,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.1493","M.1493","ornithine",444,1493,"GC/MS;LC/MS Pos Early",1763.8,142,"3184-13-2","C00077","HMDB03374","6262",6026,110,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.47709","M.47709","2-oxoarginine*",NA,47709,"LC/MS Pos",1020,174.0872,NA,NA,NA,NA,NA,111,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.2132","M.2132","citrulline",391,2132,"LC/MS Pos;LC/MS Pos Early",730.3,176.103,"372-75-8","C00327","HMDB00904","9750",810,112,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.22138","M.22138","homocitrulline",100000963,22138,"LC/MS Pos;LC/MS Pos Early",821.7,190.1186,"1190-49-4","C02427","HMDB00679","65072",58582,113,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.1898","M.1898","proline",480,1898,"LC/MS Pos;LC/MS Pos Early",805,116.0706,"147-85-3","C00148","HMDB00162","145742",128566,114,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.36808","M.36808","dimethylarginine (SDMA + ADMA)",100001810,36808,"LC/MS Pos;LC/MS Pos Early",810,203.1503,"102783-24-4","C03626","HMDB01539","123831",110375,115,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.33953","M.33953","N-acetylarginine",100001266,33953,"LC/MS Pos;LC/MS Pos Early",1116,217.1295,"155-84-0","C02562","HMDB04620","67427",60752,116,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.43249","M.43249","N-delta-acetylornithine",100004523,43249,"LC/MS Pos;LC/MS Pos Early",887,175.1077,NA,NA,NA,"9920500",8096135,117,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.32306","M.32306","trans-4-hydroxyproline",1001,32306,"LC/MS Pos;LC/MS Pos Early",685,132.0655,"51-35-4","C01157","HMDB00725","5810",5605,118,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.35127","M.35127","pro-hydroxy-pro",100001167,35127,"LC/MS Pos;LC/MS Pos Early",950,229.1183,"18684-24-7",NA,"HMDB06695","11673055",9847785,119,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.37431","M.37431","N-methylproline",100001956,37431,"LC/MS Pos;LC/MS Pos Early",831,130.0863,"475-11-6",NA,NA,"557",541,120,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.47715","M.47715","argininate",NA,47715,"LC/MS Pos",910,176.1028,NA,NA,NA,NA,NA,121,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.43802","M.43802","guanidinoacetate",344,43802,"LC/MS Pos;LC/MS Pos Early",711.2,118.0611,"352-97-6","C00581","HMDB00128","763",743,122,"Amino Acid","Creatine Metabolism"
"M.27718","M.27718","creatine",1221,27718,"LC/MS Pos;LC/MS Pos Early",771,132.0768,"57-00-1","C00300","HMDB00064","586",566,123,"Amino Acid","Creatine Metabolism"
"M.513","M.513","creatinine",275,513,"LC/MS Pos;LC/MS Pos Early",730.8,114.0662,"60-27-5","C00791","HMDB00562","588",568,124,"Amino Acid","Creatine Metabolism"
"M.47718","M.47718","N-acetyl-isoputreanine*",NA,47718,"LC/MS Pos;LC/MS Pos Early",1170,203.139,NA,NA,NA,NA,NA,125,"Amino Acid","Polyamine Metabolism"
"M.43258","M.43258","acisoga",100004541,43258,"LC/MS Pos;LC/MS Pos Early",2290,185.1285,"106692-36-8",NA,NA,"129397",114601,126,"Amino Acid","Polyamine Metabolism"
"M.1419","M.1419","5-methylthioadenosine (MTA)",212,1419,"LC/MS Pos",2444.9,298.0968,"2457-80-9","C00170","HMDB01173","439176",388321,127,"Amino Acid","Polyamine Metabolism"
"M.1558","M.1558","4-acetamidobutanoate",1113,1558,"LC/MS Pos;LC/MS Pos Early",1721.3,146.0812,"3025-96-5","C02946","HMDB03681","18189",17180,128,"Amino Acid","Polyamine Metabolism"
"M.15681","M.15681","4-guanidinobutanoate",100000096,15681,"LC/MS Pos;LC/MS Pos Early",1150,146.0924,"463-003;463-00-3","C01035","HMDB03464","500",486,129,"Amino Acid","Guanidino and Acetamido Metabolism"
"M.35159","M.35159","cysteine-glutathione disulfide",100001437,35159,"LC/MS Pos",824,214.0512,"13081-14-6",NA,"HMDB00656","4247235",3455404,130,"Amino Acid","Glutathione Metabolism"
"M.18368","M.18368","cys-gly, oxidized",1224,18368,"LC/MS Neg;LC/MS Pos Early",925,353.0595,"7729-20-6",NA,NA,"333293",295316,131,"Amino Acid","Glutathione Metabolism"
"M.1494","M.1494","5-oxoproline",1021,1494,"LC/MS Neg",738.5,128.0353,"98-79-3","C01879","HMDB00267","7405",7127,132,"Amino Acid","Glutathione Metabolism"
"M.42374","M.42374","2-aminobutyrate",1128,42374,"LC/MS Pos;LC/MS Pos Early",766.7,104.0706,"1492-24-6","C02261","HMDB00650","439691",388757,133,"Amino Acid","Glutathione Metabolism"
"M.21044","M.21044","2-hydroxybutyrate (AHB)",100000933,21044,"GC/MS",1169.4,131,"3347-90-8","C05984","HMDB00008","440864",389701,134,"Amino Acid","Glutathione Metabolism"
"M.37063","M.37063","gamma-glutamylalanine",100001843,37063,"LC/MS Pos;LC/MS Pos Early",1116,219.0976,"5875-41-2",NA,"HMDB29142","440103",389104,135,"Peptide","Gamma-glutamyl Amino Acid"
